ID,RSSI,station,distance
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-41,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-41,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-43,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-38,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-39,1,0.5
Haylou GT1 XR,-44,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-40,1,0.5
Haylou GT1 XR,-57,1,1
Haylou GT1 XR,-47,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-55,1,1
Haylou GT1 XR,-46,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-55,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-51,1,1
Haylou GT1 XR,-55,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-53,1,1
Haylou GT1 XR,-54,1,1
Haylou GT1 XR,-54,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-47,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-48,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-51,1,1
Haylou GT1 XR,-51,1,1
Haylou GT1 XR,-43,1,1
Haylou GT1 XR,-61,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-61,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-59,1,1
Haylou GT1 XR,-60,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-49,1,1
Haylou GT1 XR,-59,1,1
Haylou GT1 XR,-58,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-50,1,1
Haylou GT1 XR,-58,1,1
Haylou GT1 XR,-44,1,1
Haylou GT1 XR,-45,1,1
Haylou GT1 XR,-45,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-52,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-48,1,1.5
Haylou GT1 XR,-53,1,1.5
Haylou GT1 XR,-55,1,1.5
Haylou GT1 XR,-48,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-55,1,1.5
Haylou GT1 XR,-49,1,1.5
Haylou GT1 XR,-54,1,1.5
Haylou GT1 XR,-54,1,1.5
